Protein_FDR_Confidence_Combined	Master	Accession	Description	Coverage[%]	No.Peptides	No.PSMs	No.Unique_Peptides	MW[kDa]	Gene_Symbol	Abundance_1_0	Abundance_1_1	Abundance_1_2	Abundance_1_3	Abundance_1_4	Abundance_1_5	Abundance_1_6	Abundance_1_7	Abundance_1_8	Abundance_1_9	Abundance_1_10	Abundance_1_11	Abundance_1_12	Abundance_1_13	Abundance_1_14	Abundance_1_15	Abundance_2_0	Abundance_2_1	Abundance_2_2	Abundance_2_3	Abundance_2_4	Abundance_2_5	Abundance_2_6	Abundance_2_7	Abundance_2_8	Abundance_2_9	Abundance_2_10	Abundance_2_11	Abundance_2_12	Abundance_2_13	Abundance_2_14	Abundance_2_15	Abundance_3_0	Abundance_3_1	Abundance_3_2	Abundance_3_3	Abundance_3_4	Abundance_3_5	Abundance_3_6	Abundance_3_7	Abundance_3_8	Abundance_3_9	Abundance_3_10	Abundance_3_11	Abundance_3_12	Abundance_3_13	Abundance_3_14	Abundance_3_15	Abundance_4_0	Abundance_4_1	Abundance_4_2	Abundance_4_3	Abundance_4_4	Abundance_4_5	Abundance_4_6	Abundance_4_7	Abundance_4_8	Abundance_4_9	Abundance_4_10	Abundance_4_11	Abundance_4_12	Abundance_4_13	Abundance_4_14	Abundance_4_15	Abundance_5_0	Abundance_5_1	Abundance_5_2	Abundance_5_3	Abundance_5_4	Abundance_5_5	Abundance_5_6	Abundance_5_7	Abundance_5_8	Abundance_5_9	Abundance_5_10	Abundance_5_11	Abundance_5_12	Abundance_5_13	Abundance_5_14	Abundance_5_15
High	Master Protein	Q05707	Collagen alpha-1(XIV) chain OS=Homo sapiens OX=9606 GN=COL14A1 PE=1 SV=3	23	29	67	29	193.4	COL14A1	254.5	1295.9	1498.1	887.6	358.8	289.6	1215.3	33.4	78.2	299.1	32.9	92.9	14.2	633.5	61.7	1276.4	244.7	64.3	94.4		258.4	329.1	605.6	82.3	1523.6	45.3	288.2	191	1986	297	347.9	38.3	324.9	471.4	1703.2	694.4	274.6	341.7	819.8	48.7	89.7	574.1	241.5	609.3	205.7	213.4	101.1	163	661.9	256.3	417.7	3177.4	1626.3	417.2	772.8	576.7	634.9	205.9	239	881.8	1307.2	795.6	343.9	532.4	445.3	119	927.1	584.6	269.6	435.8	146.4	112.4	119.6	203.3	796.5	1115.3	145.7	634.8	189	144
High	Master Protein	P15924	Desmoplakin OS=Homo sapiens OX=9606 GN=DSP PE=1 SV=3	14	33	64	33	331.6	DSP	102.9	151.7	107.3	174.4	56.1	404.7	52.6	277.2	241.5	189.1	175.2	179.7	163.3	86.7	234.8	104.5	72.6	39.6	50.6	2.6	24.4	29.8	28.2	12.5	24.5	17.9	39.1	39.5	24	71.6	31.6	35.6	116.1	102.9	187.6	71.3	176.9	88.2	95	502.1	123.4	93.9	368.9	146.9	47.7	170.6	115.4	314.4	969.7	421.4	2689.5	626	1845.3	688.3	2485.5	294.7	547	467.1	166.2	193.8	265.9	334.1	758.5	2224.8	971.7	438.3	1828.3	981.2	9945.1	476.1	1576.2	519.7	361	471.7	1197.9	4731.4	423	1077.6	572.5	644.8
High	Master Protein	P06396	Gelsolin OS=Homo sapiens OX=9606 GN=GSN PE=1 SV=1	28	19	64	19	85.6	GSN	536.5	911.5	861.1	792.5	927.7	324.9	839.1	173.4	616.6	986.6	131.3	400.5	87.3	502.4	398.2	1336.3	459.5	71.3	390	6.8	488.8	594.5	443.7	495.9	1599.7	359.5	344.2	401.7	1537	194.1	717.7	343	692.8	1667.8	1811.7	684.2	778.5	566	712.4	255.4	983.9	938.3	887.6	347.9	1211	245.3	254.4	824.9	157.1	272.2	143.3	184.8	152.4	180.4	569.3	138.3	142	65.3	72.8	94.2	157.9	70.4	78.3	94.8	896.6	570	588	972.9	564.5	402.6	535.4	797.1	519.2	1597.2	683.2	676.7	703.9	317.5	586.5	1442.4
High	Master Protein	P35579	Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4	17	29	64	26	226.4	MYH9	117.8	127.3	218.9	144.3	253.5	542.8	351.9	52.6	178.5	222.9	42.9	82.9	21.7	88.2	90.7	279.7	72.8	10.2	49.1	3.4	78.5	179.1	78.3	132.1	257	82.5	85.5	64.2	471.3	49.4	60.9	53.5	513.7	2003.1	2142.1	680	421.8	322.6	450	192.7	324.9	918.6	647.3	300	1338.2	329.1	213.3	485.1	565.3	819.9	1113.4	544.6	1498	1331.4	4064	547.2	722.2	307.7	417.2	338.8	1721.2	673.1	703.1	866.2	788.2	327.8	466.7	917.8	1337.8	697.9	931	1303.2	336.2	1441.9	458.6	759.5	1018.1	210.9	354	1066.7
High	Master Protein	Q13509	Tubulin beta-3 chain OS=Homo sapiens OX=9606 GN=TUBB3 PE=1 SV=2	25	10	63	1	50.4	TUBB3																																	4	7.2	19.8	5.4		3.3	6.1			6.9	2.2		4			3.2	34.6	31.9	27	57.6	39.2	31.8	386.9	40.8	34.7	7.2	8.4	4.6	156.1	26.2	26	41.5																
High	Master Protein	P04350	Tubulin beta-4A chain OS=Homo sapiens OX=9606 GN=TUBB4A PE=1 SV=2	44	14	63	3	49.6	TUBB4A	82.2	113.9	71.2	86.3	106.7	34.9	83.2	16.3	155.2	78.9	12.9	54.5	9.7	65.6	39.7	105	72.7	20.5	47.5	4.9	51.4	99.9	59.4	55.7	263.3	42.5	58.1	50.9	320.6	48.1	104.7	30.7	216.5	502.4	771.5	139.4	133.3	106.8	119.1	54.5	99.8	362.6	141.5	82.9	214.3	57.2	51.9	210.4	172.5	189.1	186	206.2	359.6	168.9	1029.4	150.6	166.3	66.9	56.5	35.7	269.6	62.7	104.3	154.8	302.2	108.3	295.2	403.8	435.6	150.3	200.6	224.7	164.2	404	175.2	272.8	148.7	69.2	157.7	211.3
High	Master Protein	P11021	Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2	40	21	62	19	72.3	HSPA5	386.3	369.2	267.7	309.1	624.8	158.1	398.5	81.8	521.2	363.6	65.2	232.6	39.8	319.9	132.1	482.6	421.7	81	242.6	8.9	334.4	653.3	349.8	327.1	732.2	280.8	245.4	258.8	952.8	190.1	307.4	159.1	433.8	1360.9	1610.9	433.2	331.7	285.5	284.1	197	301.5	835.6	346.4	202.9	695.1	164.7	141.3	461.3	820.5	1002.2	824.6	1354.8	3503.1	849.8	3425.5	1143.9	1004.8	256	273.7	193.7	2042.2	404.6	505.1	781.6	1429.2	320.6	634.3	1259.3	946.3	956.1	1176.6	1129.9	491.1	2166.2	771.5	658.1	989.5	469	654.9	1299.8
High	Master Protein	P16104	Histone H2AX OS=Homo sapiens OX=9606 GN=H2AX PE=1 SV=2	60	7	62	1	15.1	H2AX	72.2	171.4	65	99.8	228.5	50.1	90.8	10.4	130.5	114.5	15.5	120.8	9.1	314.6	26.7	85.6																	15.7	50.3	45.8	40.3	8	13.7	9.3	3	6.3	127.1	10.6	9.9	27.6		3.3	11.9																	24.2	4.1	35.2	34.4	11	14.4	28.7	41.8	11.6	144	17.8	24.2	10	18.4	20.1	19
High	Master Protein	P50454	Serpin H1 OS=Homo sapiens OX=9606 GN=SERPINH1 PE=1 SV=2	55	19	62	19	46.4	SERPINH1	410.9	1014.5	422.7	567.2	766.6	235.1	515.8	59.6	209.9	376.5	46.2	317.3	51.8	925.5	112.9	713	792.6	107.7	335.5	35.3	577.5	2645.8	610.3	445.3	2853.2	208.2	426.1	401.5	1335.1	144.9	266.7	113.5	424.6	976.9	1797.7	605.1	233.7	233.9	171.8	47.9	44.9	1484.8	241.4	193.2	581.4	84.2	111.6	381.7	920	640.5	411.9	3811.4	1154.3	612.7	2915.6	2631.3	571.4	249.3	216.6	108.3	3509.5	427.9	302.6	413.7	319.4	34.9	163.1	464.3	226.4	195.3	174.2	215.6	61	433.4	135	89.7	139.8	160.6	147.7	96.5
High	Master Protein	P20774	Mimecan OS=Homo sapiens OX=9606 GN=OGN PE=1 SV=1	34	10	61	10	33.9	OGN	514.2	1711.7	1791.9	858.7	626.1	404.9	1287.3	47.5	426.7	180.5	44.3	667.6	33.1	2118.4	53.8	824	238.9	50.2	51.4	23.9	122.8	115.6	150.3	83.3	434.5	145.4	118.6	148.1	547.8	129.5	2797.1	66.7	1023.7	776.8	1038.3	1699.7	304.9	434	867.5	108.4	160.8	828.4	1544	815.7	902.5	416	90.8	119.5	796.8	778.8	801.7	2614.6	287.1	734.1	352.3	763.7	1388.1	127.3	1032.5	789.2	527.4	364.4	700	832.8	836	103.5	861.2	690.9	346.9	885.4	597.1	196.9	176.8	541.8	1376.8	1506.4	179.6	2157.1	1747.7	310.4
High	Master Protein	P01011	Alpha-1-antichymotrypsin OS=Homo sapiens OX=9606 GN=SERPINA3 PE=1 SV=2	37	14	60	14	47.6	SERPINA3	611.4	188.4	156.5	100.2	1726.8	53.2	574.5	95.3	789.4	94.6	45.6	317.6	23.7	373.9	60.1	148.9	384.7	77.6	64.2	6.3	259.8	168.8	69.2	195.2	121.5	420.8	72.3	594.1	210.8	86.2	183.7	81.7	1110.6	1415.5	465.8	475.9	157.3	504.6	185.2	429.8	1423.2	1420.2	417.9	195.8	3036.6	532	188.4	394.5	1210.4	1798.9	1004.1	1137.5	451.8	504.7	1040	1212.4	529.9	168.3	96.4	115.8	519.3	331.2	450.5	772.6	1180.8	290.8	909.6	598	717.4	824.2	1499.2	1627	283.4	2658.9	945.3	527.4	438.1	533.1	2780	5028.9
High	Master Protein	P08758	Annexin A5 OS=Homo sapiens OX=9606 GN=ANXA5 PE=1 SV=2	57	16	60	15	35.9	ANXA5	69.9	166	95	111.4	166	36.3	145.8	15.1	114	62.3	13.5	98.3	12	137	46.9	136.1	97.8	34.3	69.2	1.8	65.9	170.9	93.8	72.8	316.3	68.3	79.9	146.5	290.9	70.7	161.9	47.9	416.9	626.2	591.6	427.4	186.2	272.4	173.4	141.3	396.3	1376.2	257.9	213.5	439.5	111.9	83.5	298.5	922	1898.5	1014.7	2905.8	1419.3	791.2	2145.1	1545.9	849.9	359.9	325.8	220.9	1218.4	580	478.4	625	1485.8	527.2	1188.3	2784.7	891.9	902.3	989.7	1865.3	878.9	1896.7	1529.4	1533.7	948.3	998.8	1495.3	1562.2
High	Master Protein	O15335	Chondroadherin OS=Homo sapiens OX=9606 GN=CHAD PE=1 SV=2	50	12	60	12	40.5	CHAD	208.6	769.3	392.1	197.5	520.4	157.3	214.5	379.6	258.2	913.6	314.3	653.2	155.7	579.4	402	621.2	295.8	390.8	479.7	29	319.2	522.5	596.8	457.5	451.6	2868.5	689.2	1635.8	360	345.6	1040.1	606.1	196.1	365	84.1	346.5	1096	449.3	209.7	59.6	303.5	333.6	113.9	62.9	667.4	76.6	330.7	251.2	541.4	811.6	712.6	1250.5	389.3	435.2	151.7	783.4	580.1	2026.8	660	298.4	981.3	84	537.7	249.2	298.2	1249.7	394.5	485.6	168.2	307.5	86.2	2507.7	256.5	324.1	778.7	115.9	1101.2	1077.3	2978.2	803.6
High	Master Protein	Q8IUE6	Histone H2A type 2-B OS=Homo sapiens OX=9606 GN=H2AC21 PE=1 SV=3	60	6	58	1	14	H2AC21																																	4.1	6.4	4.2	4.6		4.9		3.4	2.4	17.7			7.2		2		11	46.8	4.5	21.3	3.9	16.1	32.3	22.5	12.1	2.3			5.2		7.4	6.5																
High	Master Protein	P08311	Cathepsin G OS=Homo sapiens OX=9606 GN=CTSG PE=1 SV=2	37	8	57	8	28.8	CTSG	178.5	12.1	36.3	15.2	72	54.2	93		1177.5	33.4	30	16.2	2.6	18.4	4.4	25.5	300.7	77	56.3	1.9	68.7	108.4	96	1601.4	165.8	901.2	76.9	113.1	297.6	44.7	20.1	31.3	154.5	398.5	241.6	57.1	28.7	46	150.2	275.7	3159	64.2	120.1	28.1	198.7	37.4	23.6	40.1	255.5	794.8	114.3	100.9	88.3	1250.8	1101.3	79.2	64	11.8	12	10.7	103.1	22.8	144.9	62	133.7	14.2	23.7	21.6	25.7	70.6	218	212.2	13	583.2	31.5	28.4	196.5	43.4	9.7	752
High	Master Protein	P07737	Profilin-1 OS=Homo sapiens OX=9606 GN=PFN1 PE=1 SV=2	53	9	56	9	15	PFN1	476.5	317.3	221.4	224.7	659.4	54	416.2	71.1	1275.3	229.4	72.1	348.1	44.3	339.4	104	309	678.1	128.7	240.7	19.4	207.2	625	196.7	516.7	771.8	430.3	186	457	769.7	188.9	265.6	150.7	890.6	1036	1205.4	288.8	229.3	312.4	173.5	168.6	595.2	1241.9	202.3	155	1674.9	66.9	73.2	190.3	1242.1	3899.9	702.8	1413.2	739.5	1424.6	4004.2	1212.3	540.6	138.7	135.9	76.6	821.9	206.8	404.9	492.5	1570	126.4	369.8	563.8	402	436.4	850	1237.4	187.8	2996.3	265.1	549	675.1	231.3	366.5	1257.2
High	Master Protein	P06576	"ATP synthase subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1B PE=1 SV=3"	43	15	56	15	56.5	ATP5F1B	185.7	301.7	220.3	247.3	368	208	242.7	33.1	166.4	369.8	38.6	278	40.2	226.1	144.6	388.5	62.6	13.1	38.3		53	157.2	52.6	50.3	118.7	41.6	37.1	51.8	142.4	36.5	46.6	24.8	615.8	1691.9	1484.2	541.3	420.8	291.1	411.6	137.6	223.4	1335.3	364.4	234.8	662.2	149.5	148.4	490.4	690.9	713.7	580.6	1182.3	880.1	527.3	1996.8	1467.6	664.2	278.1	231.3	136.7	1060.9	249	380.5	557.7	658.4	84.1	329.6	1208.9	423.5	361	338.3	557.8	303.5	1391	407.4	431.2	363.9	238	472.1	581.1
High	Master Protein	P04083	Annexin A1 OS=Homo sapiens OX=9606 GN=ANXA1 PE=1 SV=2	55	17	56	17	38.7	ANXA1	199.2	238.9	227.4	260.6	292.5	157.6	305.8	33	925.4	141.7	52.3	174.6	19	217.6	91.7	285.1	431.1	139.8	135.9	12.2	320.4	600.1	207.3	573.7	647.2	608.1	251.4	594.4	952.8	192.6	564.7	151.9	359	812	905.5	395	211.9	169.9	189.1	165.4	598.8	900.1	303.7	401.6	708.5	136.2	68.8	273.9	961	2892.1	861.2	1349.2	618.2	1407.1	3034.3	865.9	926.3	297.2	244	208.8	937.5	334.4	607.1	746.8	757.2	83.5	365.6	1068.1	305.2	346	886.8	1053.1	273.7	1830.8	614.8	562.7	538.5	331.7	465.9	857.6
High	Master Protein	Q71UI9	Histone H2A.V OS=Homo sapiens OX=9606 GN=H2AZ2 PE=1 SV=3	31	4	55	2	13.5	H2AZ2																																	519.6	1136.5	1171.9	915.3	258	456.8	213.2	277.1	229.8	3088.2	312.4	300.4	884.8	67.2	87.9	182.2																	429.1	56.2	363.3	600.9	170.6	425.2	1067.3	548.3	249.1	1755.6	458.2	345.7	333.2	303.3	308.2	341
High	Master Protein	P13796	Plastin-2 OS=Homo sapiens OX=9606 GN=LCP1 PE=1 SV=6	39	20	54	18	70.2	LCP1	108	19.6	27.4	17.2	147.8	12.9	56.3	12.5	326.6	32.5	12.1	43	6.3	25.5	7.4	14.6	48.1	8.6	12.1		16.1	50.9	10.8	83.2	32.9	55	11.1	40.4	32.9	5.6	9.4	11	661.2	1250.9	791.5	261.8	243	213.6	207.3	287.6	1660.1	677	265.7	133.3	831.6	178.8	102.3	472.5	977.4	3712.1	712.7	945.7	793.5	1858	4086	1075.3	641.8	136.7	84	84	627.1	172.5	465.2	364.4	602.8	107	156.2	268.7	179.3	283.7	615.1	833.6	121.8	2897.9	154.5	215.4	526.5	116.5	177.2	1292.9
High	Master Protein	P68104	Elongation factor 1-alpha 1 OS=Homo sapiens OX=9606 GN=EEF1A1 PE=1 SV=1	42	14	54	14	50.1	EEF1A1	202.1	303.2	244.7	307.6	445.9	106.6	353.8	64.3	237.5	289.7	44	247.9	35.3	305.2	97.9	443	247.7	45.9	169.3	11	218.5	805.3	205.1	226.4	832	138.4	146.4	134.7	875.3	107.2	133.2	68.5	424.2	1042.7	1123.7	370.2	246.6	160.9	118.6	61.9	71.1	768.5	249.8	113.3	436	108.6	81.9	371.6	838.9	759	639.3	1505.1	1723.9	645.1	3310	1645	826.7	489.6	283	234.3	1772.5	394.3	531	838.7	1339.6	221	580.5	1281.7	1611.5	547.3	962.8	632.1	407.5	1694.1	392.3	440.8	705.7	400.5	725.3	827.1
High	Master Protein	P36955	Pigment epithelium-derived factor OS=Homo sapiens OX=9606 GN=SERPINF1 PE=1 SV=4	43	15	54	15	46.3	SERPINF1	369.4	1277.1	680.2	468.8	830.9	111.5	828.1	330.6	174.6	1089.2	210.8	684	120.2	1034.2	356.9	848.9	304.2	155.5	156.9	16.7	298.4	483.1	277.6	106.8	959.8	88.3	397.7	344.9	441.8	197.3	402.6	308.4	630.3	616.7	587.1	1196.3	491	1830.6	418.8	197.4	521.4	2585.2	468.8	343.4	1522.4	264.5	649.2	550.6	521.4	375.2	455	2633.4	574.3	433.9	520.1	1853.4	353.7	1085.6	265.3	289.8	911.8	256.8	278.2	311.4	920.5	1660.2	1017	1858.8	571.9	423.1	367.6	599.6	627.1	716.7	1169.5	325.1	534.8	869	1355.5	936.5
High	Master Protein	P08603	Complement factor H OS=Homo sapiens OX=9606 GN=CFH PE=1 SV=4	29	27	53	25	139	CFH	128.1	128.5	102	83	630.8	24.2	292.7	49.4	140.5	134.4	23.5	209.9	9.9	207	59.7	252.3	263	64	183.8	11.8	729.4	418.2	237	215	327	272.4	252.6	474.5	581	169.6	424.6	319.8	187.7	543.7	323	236.9	87.8	133.9	134.2	41	100.1	321.8	274.3	80.5	264.7	88.1	82.5	96.9	690.7	1944	964.8	1175.6	509.6	551.7	1044.2	795.1	675.2	314.6	220	258.7	738.8	593.9	396.6	651	580.6	657.8	734.8	760.1	234.8	395	303.5	488.9	356.7	834.8	1076.4	514.2	254.6	255.3	1019.3	986.9
High	Master Protein	Q09666	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2	16	30	52	30	628.7	AHNAK	107.7	183.8	326.4	432.7	227.6	124	383.4	55.1	140	258.3	80.4	117.6	20.8	169.1	119.3	257.5	110.2	38.5	40.2		140.8	268.2	67	215.7	103.3	203.6	75.4	35	454.2	48	75.9	38.3	507.3	1477.7	1290.4	1204.2	436.8	1376.1	459.6	191.8	130	1088.1	665.7	656.5	702	288.7	169.5	564.2	503.3	417	672.4	798.7	922.3	528.1	1491.6	471.2	785.9	702.3	536.9	356.8	1288.6	323	680.9	1331.9	302.6	123.4	280.6	495.3	933.7	262.5	347.2	187.2	229.9	183.3	395.1	269.8	295	212.3	329.6	303.8
High	Master Protein	P49747	Cartilage oligomeric matrix protein OS=Homo sapiens OX=9606 GN=COMP PE=1 SV=2	22	12	52	10	82.8	COMP	20.5	31.4	42.8	18.7	27.5	12.1	35.6	6.4	5.3	9.3	7.8	18	1.9	43.3	2.8	85.5	96.9	16.6	30.1	23.6	128.4	42.3	37.2	99.1	361.8	230.2	71.8	446.2	413.8	4	4411.9	60.1	84.5	98	78.7	176.7	137.4	20.2	37.3	3.2	16.8	86.4	295.8	28.7	38.1	24.9	12.5	26	425.3	367.2	239.6	1038.9	241.5	294.3	170.7	508	425.8	71.7	1647.1	1201.6	290.4	262.9	674.6	254.3	55.4	24.4	59.8	35.3	46.4	28.4	27.7	86.5	35	45.4	477.5	114.7	33.9	78.3	179.5	37
High	Master Protein	Q13885	Tubulin beta-2A chain OS=Homo sapiens OX=9606 GN=TUBB2A PE=1 SV=1	37	12	51	1	49.9	TUBB2A	37.5	93.2	46	73.1	54.1	17.6	61.7	5.9	107.7	28	6.9	32.5	6	43	20.4	83.7	43.7	11.3	12.9		24	33	25.8	16.3	119.4	12.6	40.3	27.6	223.6	21.1	58.5	14.3																																																
High	Master Protein	P00450	Ceruloplasmin OS=Homo sapiens OX=9606 GN=CP PE=1 SV=1	25	17	50	17	122.1	CP	149.8	57	43.9	22.2	830.3	22.9	172.1	62.9	349.1	47.4	17.4	97.6	8.6	80.7	37.6	76.2	191.3	57.9	43.9		431.5	127.3	52.1	165.8	92.8	260.1	74	177.3	210.3	56.3	150	149.6	340.4	730.1	204	188.4	69.5	315	114.4	153.6	368.1	319.1	239.6	83	533.2	221.4	80	166.2	642.4	2132.1	1318.5	901.6	561.3	806.6	1113.7	922.7	711.1	373.8	213.2	313.4	601.2	539.5	444.4	639.3	942.7	838.3	1190.3	931.4	338.9	607.3	466.9	1227.8	451.5	2081.3	858.9	619	607.3	357.7	2129	2822.5
High	Master Protein	P18206	Vinculin OS=Homo sapiens OX=9606 GN=VCL PE=1 SV=4	21	22	49	22	123.7	VCL	523.2	691.2	728.9	756.3	1160.1	397.7	1250.4	150.7	608	696.6	178.3	407.2	102.6	626.8	515.6	1021.4	396	113.6	358.7	13.7	421	548.9	459.5	303.3	1610.8	295.7	429.2	406.9	2927.9	299.9	524.9	425.2	437	1529.2	1947.5	645.3	440.9	352.2	685.9	120.2	208.6	999.6	465.8	211.9	530.8	159.9	155.6	437	709.3	1345.2	1218.6	1099.1	920.4	971.3	3800.6	885.4	895	687.6	385.1	234.6	1133.4	475.1	798.4	1164.2	569	226.9	399.5	1114.1	782.2	565.1	612.1	604.6	382.5	1413.5	487.9	1298.4	452.1	241.4	465.4	509.6
High	Master Protein	P02458	Collagen alpha-1(II) chain OS=Homo sapiens OX=9606 GN=COL2A1 PE=1 SV=3	7	10	49	8	141.7	COL2A1	14.6	9.7	1164.5	3.9	596.7	2.4	34.2	2	10.5	2.4	1.8	8.3		31.7	5.2	1150.1	33.5	2.3	3.2	5.1	20.8	36.4	4.5	389.4	17.9	2704.7		307	48.1	9.7	914	54.4	557	128.9	178.3	681.3	211.1	69.7	27.9	10.5	30	59.4	66.3	66.1	1522.3	122.8	43.8	1130.1	99.3	555.3	51.7	99	36.7	697.2	29.9	60.2	107.2	36.8	904.9	151.8	185.4	97.3	515	99.3	82.6	44.3	19.5	19.3	41.3	73.6	25.8	808.9		49.8	36	10.4	321.3	154.1	277	16.4
High	Master Protein	P11142	Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1	39	20	49	12	70.9	HSPA8	158.6	213.6	171.3	241.3	286.2	110.3	176	114.3	894.5	204.1	84.8	178.1	70.7	165.9	122	232.6	208.5	71.5	208.6	4.2	184.6	410.2	257.9	188.2	466.8	184.8	193.6	172.4	678	172.2	204.5	144.8	539	1174.8	1460	467.4	313.8	283.8	441.2	154.5	254.3	932.6	319.3	203.3	622.5	135.8	159.5	394.5	502.1	887.2	487.7	823.9	899.4	443.5	1884.8	631.2	424.1	178.1	141.2	102	863	313	276.3	465.4	406.1	138	305.6	412.2	353.9	319.1	332.5	378.7	236.3	630.5	202.3	270.1	249.9	123.4	219	299.2
High	Master Protein	P13639	Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4	39	23	49	23	95.3	EEF2	146	114.5	93.9	101.1	279.5	29.5	169.4	19.4	161.3	109	15.4	77.9	12.4	123.1	33.3	172.9	20.3	8.8	19.6		21.4	43.3	26.8	15.8	68.9	18.1	15	17.4	110.9	11.6	22.4	8.8	180.4	468.6	676.8	185.6	134	93.3	147.3	95.9	83	295.9	199.1	83.9	242.6	62.3	54	159.9	722.5	1037.7	792	1510.1	2317.9	887.6	5794	1339.7	854.9	228	245.3	138.4	2676.2	364	524.4	914.4	622.4	190.7	491.4	569.9	801.1	487.9	713.5	611.8	220.1	1096.5	285	455.1	503.3	236.9	402.8	578.2
High	Master Protein	P07339	Cathepsin D OS=Homo sapiens OX=9606 GN=CTSD PE=1 SV=1	33	11	49	11	44.5	CTSD	619.2	786.9	400.2	612.5	1509.2	275.3	787.5	229	314.3	527.4	165	746.5	227.9	544.7	321.3	388	330.2	112.8	210.2	9.8	202.9	632.8	193.4	158.6	474.8	100.7	171.5	325.9	267.8	161.9	176.5	149	701.2	1511.1	1203.2	577.7	365.7	342.4	176	446.1	151.4	3392.5	337.5	219.9	797.4	193.3	176	1052.5	939.2	1334.5	610.9	1847.6	1296.3	448.6	2764.3	2072.9	878.4	312.7	175.6	171.3	607.2	221.8	350.2	502.3	1353.6	173	504.1	1078.1	634.1	618.2	787.1	1369.2	499.1	3871.1	666.2	492.4	472	705.6	966.8	1840.6
High	Master Protein	P02765	Alpha-2-HS-glycoprotein OS=Homo sapiens OX=9606 GN=AHSG PE=1 SV=2	42	10	48	10	39.3	AHSG	350.5	1723.6	593.5	389.3	798.5	148.5	571.5	398.1	394	984.8	257.9	963.8	168.6	1080.2	636.2	514.3	1088.6	538.2	1234.7	55	1247.2	2215.8	1595.4	435.4	3579.2	309.2	1290.4	1757.2	1045.3	896.8	584.4	1891.4	1126.5	334.6	193.8	535.3	554	2422.5	391.5	267.8	1339.2	843	275.1	259.3	3758.4	186.6	797.8	460	428	269.1	328.4	1069.5	333.4	166.5	143.4	418.9	221.4	744.3	184	70.9	673	84.1	126.1	137.4	697.7	1706.5	756.2	1044.7	485.7	248.5	216	515.3	641.3	455.3	793.3	148.9	527.1	358.8	720.4	698.6
High	Master Protein	P62987	Ubiquitin-60S ribosomal protein L40 OS=Homo sapiens OX=9606 GN=UBA52 PE=1 SV=2	37	4	48	4	14.7	UBA52	635	1424.7	768.4	1022.4	1501.4	552.6	743	383.2	1224.6	1108.8	299.3	1262.1	242.3	1677.6	510.8	1128.3	259.1	120.6	352.7	12.1	296.7	421.6	391.5	178.6	682	135.7	330.4	288.8	755.7	347.5	424.6	281.6	741.9	1669.9	1642	951.4	513.2	540.7	811.1	511.9	252.5	2347	565.8	336.8	527.5	220.6	386.8	639.1	251	263.6	111.9	334	290.4	191.8	605.9	410.8	208.6	108.8	77.8	60.2	282.9	68.5	167.3	265.2	632.5	176.7	348.8	492.9	542.1	393.2	956.4	437.8	577.2	982.2	515.3	631.8	310.7	542.9	438.7	401.2
High	Master Protein	P07237	Protein disulfide-isomerase OS=Homo sapiens OX=9606 GN=P4HB PE=1 SV=3	35	17	48	17	57.1	P4HB	252.1	362.8	237.3	230.1	475.3	115.8	390	32.3	392.1	194.3	31.9	145.6	22.9	236.4	108.3	407.4	178.1	28.2	41.5	2.6	53.3	291	44.4	132.6	339.1	113.6	58.2	81.5	331.6	31.7	78	27.4	512.4	1269.9	2101.1	447.2	260.6	288.7	218.1	142.3	355.7	793.1	309.3	192.5	787.3	145.9	127.8	539.9	973.5	965.4	760.3	1937.1	2987.2	839	4648.3	1705.7	994.7	328.7	225.4	157.7	2226.9	353.7	379.2	524	1309.6	275.1	482	939.4	808.6	606.9	974.1	879	311.6	1686.7	418.8	357	871.3	386.8	447.4	1478.8
High	Master Protein	P40926	"Malate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=MDH2 PE=1 SV=3"	57	15	48	15	35.5	MDH2	506.8	677.6	432.1	405.5	915.5	378.1	715.9	100.4	535.9	633.4	98.3	553	120.2	478.2	307.7	723	127.1	29.7	96.8		98.7	336.3	114.8	94.8	373.8	51.9	92.7	130.1	333.9	97.2	71.5	53.5	544.1	2253.5	1762.5	718.6	480.2	380.6	361.6	214.8	191.3	2190.8	395.6	283.2	532.5	154.1	94.3	491.6	337.5	475.4	349.5	808.5	645.5	238.4	1083.5	533.3	323.9	138.9	114.3	69.4	407.1	137.6	135.6	221	505.8	87.9	369.3	968.6	417.9	221.5	226.4	374.8	213.1	1016.2	343.3	319.8	328.3	171.4	348.6	542.7
